x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
85.65168539325843,2.2247191011235956,1,45.0,-154.24522,0.20958889
86.76404494382022,2.2247191011235956,1,45.0,-146.36395,0.2132445
87.87640449438203,2.2247191011235956,1,45.0,-138.83759,0.2170048
88.98876404494382,2.2247191011235956,1,45.0,-131.65654,0.22086877
90.10112359550563,2.2247191011235956,1,45.0,-124.810616,0.22483495
91.21348314606742,2.2247191011235956,1,45.0,-118.289856,0.22890118
92.32584269662922,2.2247191011235956,1,45.0,-112.08354,0.23306486
93.43820224719101,2.2247191011235956,1,45.0,-106.180664,0.23732302
94.55056179775282,2.2247191011235956,1,45.0,-100.57126,0.24167112
95.66292134831461,2.2247191011235956,1,45.0,-95.244385,0.24610463
96.7752808988764,2.2247191011235956,1,45.0,-90.1886,0.2506187
97.88764044943821,2.2247191011235956,0,,,
99.0,2.2247191011235956,0,,,
0.0,3.3370786516853936,1,20.085536923187668,-1508.9612,0.115553245
1.1123595505617978,3.3370786516853936,1,20.085536923187668,-1489.6974,0.11582388
2.2247191011235956,3.3370786516853936,1,20.085536923187668,-1470.4062,0.116100416
3.3370786516853936,3.3370786516853936,1,20.085536923187668,-1451.0803,0.116383165
4.449438202247191,3.3370786516853936,1,20.085536923187668,-1431.7115,0.11667248
5.561797752808989,3.3370786516853936,1,20.085536923187668,-1412.3002,0.1169686
6.674157303370787,3.3370786516853936,1,20.085536923187668,-1392.8379,0.11727193
7.786516853932585,3.3370786516853936,1,20.085536923187668,-1373.3162,0.11758287
8.898876404494382,3.3370786516853936,1,20.085536923187668,-1353.7377,0.117901705
10.011235955056181,3.3370786516853936,1,20.085536923187668,-1334.0916,0.11822893
11.123595505617978,3.3370786516853936,1,20.085536923187668,-1314.382,0.11856483
12.235955056179776,3.3370786516853936,1,20.085536923187668,-1294.598,0.11890997
13.348314606741575,3.3370786516853936,1,20.085536923187668,-1274.7399,0.11926474
14.460674157303371,3.3370786516853936,1,20.085536923187668,-1254.8015,0.119629696
15.57303370786517,3.3370786516853936,1,20.085536923187668,-1234.7859,0.12000525
16.685393258426966,3.3370786516853936,1,20.085536923187668,-1214.6844,0.12039207
17.797752808988765,3.3370786516853936,1,20.085536923187668,-1194.5042,0.120790526
18.910112359550563,3.3370786516853936,1,20.085536923187668,-1174.2373,0.12120137
20.022471910112362,3.3370786516853936,1,20.085536923187668,-1153.8864,0.12162516
21.134831460674157,3.3370786516853936,1,20.085536923187668,-1133.4528,0.12206252
22.247191011235955,3.3370786516853936,1,20.085536923187668,-1112.9364,0.12251414
23.359550561797754,3.3370786516853936,1,20.085536923187668,-1092.3447,0.122980624
24.471910112359552,3.3370786516853936,1,20.085536923187668,-1071.6752,0.12346281
25.58426966292135,3.3370786516853936,1,20.085536923187668,-1050.9355,0.12396136
26.69662921348315,3.3370786516853936,1,20.085536923187668,-1030.1272,0.12447716
27.808988764044944,3.3370786516853936,1,20.085536923187668,-1009.25903,0.12501095
28.921348314606742,3.3370786516853936,1,20.085536923187668,-988.33704,0.1255636
30.03370786516854,3.3370786516853936,1,20.085536923187668,-967.3684,0.126136
31.14606741573034,3.3370786516853936,1,20.085536923187668,-946.36084,0.1267291
32.258426966292134,3.3370786516853936,1,20.085536923187668,-925.32574,0.1273438
33.37078651685393,3.3370786516853936,1,20.085536923187668,-904.2726,0.12798113
34.48314606741573,3.3370786516853936,1,20.085536923187668,-883.2139,0.12864207
35.59550561797753,3.3370786516853936,1,20.085536923187668,-862.15796,0.1293278
36.70786516853933,3.3370786516853936,1,20.085536923187668,-841.11896,0.13003942
37.82022471910113,3.3370786516853936,1,20.085536923187668,-820.1126,0.130778
38.932584269662925,3.3370786516853936,1,20.085536923187668,-799.151,0.13154481
40.044943820224724,3.3370786516853936,1,20.085536923187668,-778.24884,0.13234112
41.15730337078652,3.3370786516853936,1,20.085536923187668,-757.42163,0.13316819
42.26966292134831,3.3370786516853936,1,20.085536923187668,-736.6854,0.13402739
43.38202247191011,3.3370786516853936,1,20.085536923187668,-716.0555,0.13492015
44.49438202247191,3.3370786516853936,1,20.085536923187668,-695.54974,0.13584785
45.60674157303371,3.3370786516853936,1,45.0,-675.18646,0.13681193
46.71910112359551,3.3370786516853936,1,45.0,-654.9782,0.13781413
47.831460674157306,3.3370786516853936,1,45.0,-634.9453,0.13885595
48.943820224719104,3.3370786516853936,1,45.0,-615.1056,0.13993898
50.0561797752809,3.3370786516853936,1,45.0,-595.4739,0.14106506
51.1685393258427,3.3370786516853936,1,45.0,-576.0684,0.14223588
52.2808988764045,3.3370786516853936,1,45.0,-556.9059,0.14345329
53.3932584269663,3.3370786516853936,1,45.0,-538.0033,0.1447191
